 good                                                                             ,  part                                                                             ,  quantity
"VEXOR"                                                                           , "MEGACYTE"                                                                        ,      "356"

"BRUTIX"                                                                          , "TRITANIUM"                                                                       ,  "3111111"
"BRUTIX"                                                                          , "PYERITE"                                                                         ,   "700000"
"BRUTIX"                                                                          , "MEXALLON"                                                                        ,   "244444"
"BRUTIX"                                                                          , "NOCXIUM"                                                                         ,    "12778"
"BRUTIX"                                                                          , "ZYDRINE"                                                                         ,     "4888"
"BRUTIX"                                                                          , "MEGACYTE"                                                                        ,     "2888"

"CYCLONE"                                                                         , "TRITANIUM"                                                                       ,  "3222222"
"CYCLONE"                                                                         , "PYERITE"                                                                         ,   "766667"
"CYCLONE"                                                                         , "MEXALLON"                                                                        ,   "188889"
"CYCLONE"                                                                         , "ISOGEN"                                                                          ,    "58889"
"CYCLONE"                                                                         , "ZYDRINE"                                                                         ,     "6222"
"CYCLONE"                                                                         , "MEGACYTE"                                                                        ,     "3334"

"DRAKE"                                                                           , "TRITANIUM"                                                                       ,  "2777778"
"DRAKE"                                                                           , "PYERITE"                                                                         ,   "680078"
"DRAKE"                                                                           , "MEXALLON"                                                                        ,   "188889"
"DRAKE"                                                                           , "ISOGEN"                                                                          ,    "20000"
"DRAKE"                                                                           , "NOCXIUM"                                                                         ,    "16667"
"DRAKE"                                                                           , "ZYDRINE"                                                                         ,     "8006"
"DRAKE"                                                                           , "MEGACYTE"                                                                        ,     "1888"

"FEROX"                                                                           , "TRITANIUM"                                                                       ,  "2555556"
"FEROX"                                                                           , "PYERITE"                                                                         ,   "666667"
"FEROX"                                                                           , "MEXALLON"                                                                        ,   "194444"
"FEROX"                                                                           , "ISOGEN"                                                                          ,    "22222"
"FEROX"                                                                           , "NOCXIUM"                                                                         ,    "17222"
"FEROX"                                                                           , "ZYDRINE"                                                                         ,     "8444"
"FEROX"                                                                           , "MEGACYTE"                                                                        ,     "1778"

"HARBINGER"                                                                       , "TRITANIUM"                                                                       ,  "3888889"
"HARBINGER"                                                                       , "PYERITE"                                                                         ,   "833333"
"HARBINGER"                                                                       , "MEXALLON"                                                                        ,   "205555"
"HARBINGER"                                                                       , "ISOGEN"                                                                          ,    "33333"
"HARBINGER"                                                                       , "ZYDRINE"                                                                         ,     "6666"
"HARBINGER"                                                                       , "MEGACYTE"                                                                        ,     "2666"

"HURRICANE"                                                                       , "TRITANIUM"                                                                       ,  "3000000"
"HURRICANE"                                                                       , "PYERITE"                                                                         ,   "755556"
"HURRICANE"                                                                       , "MEXALLON"                                                                        ,   "211111"
"HURRICANE"                                                                       , "ISOGEN"                                                                          ,    "55556"
"HURRICANE"                                                                       , "ZYDRINE"                                                                         ,     "7112"
"HURRICANE"                                                                       , "MEGACYTE"                                                                        ,     "2888"

"MYRMIDON"                                                                        , "TRITANIUM"                                                                       ,  "3166667"
"MYRMIDON"                                                                        , "PYERITE"                                                                         ,   "711111"
"MYRMIDON"                                                                        , "MEXALLON"                                                                        ,   "233333"
"MYRMIDON"                                                                        , "NOCXIUM"                                                                         ,    "14444"
"MYRMIDON"                                                                        , "ZYDRINE"                                                                         ,     "5556"
"MYRMIDON"                                                                        , "MEGACYTE"                                                                        ,     "2666"

"PROPHECY"                                                                        , "TRITANIUM"                                                                       ,  "4111111"
"PROPHECY"                                                                        , "PYERITE"                                                                         ,   "777778"
"PROPHECY"                                                                        , "MEXALLON"                                                                        ,   "211111"
"PROPHECY"                                                                        , "ISOGEN"                                                                          ,    "34444"
"PROPHECY"                                                                        , "ZYDRINE"                                                                         ,     "6000"
"PROPHECY"                                                                        , "MEGACYTE"                                                                        ,     "2222"

"TORNADO"                                                                         , "TRITANIUM"                                                                       ,  "4383367"
"TORNADO"                                                                         , "PYERITE"                                                                         ,  "1093506"
"TORNADO"                                                                         , "MEXALLON"                                                                        ,   "264179"
"TORNADO"                                                                         , "ISOGEN"                                                                          ,    "78249"
"TORNADO"                                                                         , "ZYDRINE"                                                                         ,     "9494"
"TORNADO"                                                                         , "MEGACYTE"                                                                        ,     "3694"

"BESTOWER"                                                                        , "TRITANIUM"                                                                       ,    "80556"
"BESTOWER"                                                                        , "PYERITE"                                                                         ,    "18111"
"BESTOWER"                                                                        , "MEXALLON"                                                                        ,     "5667"
"BESTOWER"                                                                        , "ISOGEN"                                                                          ,      "556"
"BESTOWER"                                                                        , "NOCXIUM"                                                                         ,      "183"
"BESTOWER"                                                                        , "ZYDRINE"                                                                         ,       "88"
"BESTOWER"                                                                        , "MEGACYTE"                                                                        ,       "20"

"SIGIL"                                                                           , "TRITANIUM"                                                                       ,    "47222"
"SIGIL"                                                                           , "PYERITE"                                                                         ,    "14444"
"SIGIL"                                                                           , "MEXALLON"                                                                        ,     "6500"
"SIGIL"                                                                           , "ISOGEN"                                                                          ,      "611"
"SIGIL"                                                                           , "NOCXIUM"                                                                         ,      "278"
"SIGIL"                                                                           , "ZYDRINE"                                                                         ,       "88"
"SIGIL"                                                                           , "MEGACYTE"                                                                        ,       "26"

"BADGER"                                                                          , "TRITANIUM"                                                                       ,    "71111"
"BADGER"                                                                          , "PYERITE"                                                                         ,    "12667"
"BADGER"                                                                          , "MEXALLON"                                                                        ,     "6667"
"BADGER"                                                                          , "ISOGEN"                                                                          ,      "444"
"BADGER"                                                                          , "NOCXIUM"                                                                         ,      "222"
"BADGER"                                                                          , "ZYDRINE"                                                                         ,       "66"
"BADGER"                                                                          , "MEGACYTE"                                                                        ,       "12"

"TAYRA"                                                                           , "TRITANIUM"                                                                       ,    "59444"
"TAYRA"                                                                           , "PYERITE"                                                                         ,    "15333"
"TAYRA"                                                                           , "MEXALLON"                                                                        ,     "5833"
"TAYRA"                                                                           , "ISOGEN"                                                                          ,     "1389"
"TAYRA"                                                                           , "NOCXIUM"                                                                         ,      "278"
"TAYRA"                                                                           , "ZYDRINE"                                                                         ,       "88"
"TAYRA"                                                                           , "MEGACYTE"                                                                        ,       "14"

"EPITHAL"                                                                         , "TRITANIUM"                                                                       ,    "69444"
"EPITHAL"                                                                         , "PYERITE"                                                                         ,    "11667"
"EPITHAL"                                                                         , "MEXALLON"                                                                        ,     "4556"
"EPITHAL"                                                                         , "ISOGEN"                                                                          ,      "611"
"EPITHAL"                                                                         , "NOCXIUM"                                                                         ,      "189"
"EPITHAL"                                                                         , "ZYDRINE"                                                                         ,       "56"
"EPITHAL"                                                                         , "MEGACYTE"                                                                        ,       "12"

"NEREUS"                                                                          , "TRITANIUM"                                                                       ,    "53333"
"NEREUS"                                                                          , "PYERITE"                                                                         ,    "13444"
"NEREUS"                                                                          , "MEXALLON"                                                                        ,     "5111"
"NEREUS"                                                                          , "ISOGEN"                                                                          ,      "356"
"NEREUS"                                                                          , "NOCXIUM"                                                                         ,      "244"
"NEREUS"                                                                          , "ZYDRINE"                                                                         ,       "56"
"NEREUS"                                                                          , "MEGACYTE"                                                                        ,       "22"

"MAMMOTH"                                                                         , "TRITANIUM"                                                                       ,    "73333"
"MAMMOTH"                                                                         , "PYERITE"                                                                         ,    "18889"
"MAMMOTH"                                                                         , "MEXALLON"                                                                        ,     "7333"
"MAMMOTH"                                                                         , "ISOGEN"                                                                          ,     "1233"
"MAMMOTH"                                                                         , "NOCXIUM"                                                                         ,      "344"
"MAMMOTH"                                                                         , "ZYDRINE"                                                                         ,      "112"
"MAMMOTH"                                                                         , "MEGACYTE"                                                                        ,       "18"

"WREATHE"                                                                         , "TRITANIUM"                                                                       ,    "82222"
"WREATHE"                                                                         , "PYERITE"                                                                         ,     "9333"
"WREATHE"                                                                         , "MEXALLON"                                                                        ,     "3889"
"WREATHE"                                                                         , "ISOGEN"                                                                          ,      "667"
"WREATHE"                                                                         , "NOCXIUM"                                                                         ,      "133"
"WREATHE"                                                                         , "ZYDRINE"                                                                         ,       "88"
"WREATHE"                                                                         , "MEGACYTE"                                                                        ,       "12"

"HERETIC"                                                                         , "HERETIC BLUEPRINT COPY"                                                          ,        "1.02"
"HERETIC"                                                                         , "FUSION THRUSTER"                                                                 ,       "60"
"HERETIC"                                                                         , "RADAR SENSOR CLUSTER"                                                            ,       "75"
"HERETIC"                                                                         , "NANOELECTRICAL MICROPROCESSOR"                                                   ,      "360"
"HERETIC"                                                                         , "TUNGSTEN CARBIDE ARMOR PLATE"                                                    ,     "1500"
"HERETIC"                                                                         , "ANTIMATTER REACTOR UNIT"                                                         ,       "15"
"HERETIC"                                                                         , "TESSERACT CAPACITOR UNIT"                                                        ,      "150"
"HERETIC"                                                                         , "LINEAR SHIELD EMITTER"                                                           ,       "38"
"HERETIC"                                                                         , "MORPHITE"                                                                        ,       "15"
"HERETIC"                                                                         , "CONSTRUCTION BLOCKS"                                                             ,       "23"
"HERETIC"                                                                         , "R.A.M.- STARSHIP TECH"                                                           ,        "9"
"HERETIC"                                                                         , "COERCER"                                                                         ,        "1"

"FLYCATCHER"                                                                      , "FLYCATCHER BLUEPRINT COPY"                                                       ,        "1.02"
"FLYCATCHER"                                                                      , "MAGPULSE THRUSTER"                                                               ,       "60"
"FLYCATCHER"                                                                      , "GRAVIMETRIC SENSOR CLUSTER"                                                      ,       "75"
"FLYCATCHER"                                                                      , "QUANTUM MICROPROCESSOR"                                                          ,      "360"
"FLYCATCHER"                                                                      , "TITANIUM DIBORITE ARMOR PLATE"                                                   ,     "1500"
"FLYCATCHER"                                                                      , "GRAVITON REACTOR UNIT"                                                           ,       "15"
"FLYCATCHER"                                                                      , "SCALAR CAPACITOR UNIT"                                                           ,      "150"
"FLYCATCHER"                                                                      , "SUSTAINED SHIELD EMITTER"                                                        ,       "38"
"FLYCATCHER"                                                                      , "MORPHITE"                                                                        ,       "15"
"FLYCATCHER"                                                                      , "CONSTRUCTION BLOCKS"                                                             ,       "23"
"FLYCATCHER"                                                                      , "R.A.M.- STARSHIP TECH"                                                           ,        "9"
"FLYCATCHER"                                                                      , "CORMORANT"                                                                       ,        "1"

"ERIS"                                                                            , "ERIS BLUEPRINT COPY"                                                             ,        "1.02"
"ERIS"                                                                            , "ION THRUSTER"                                                                    ,       "60"
"ERIS"                                                                            , "MAGNETOMETRIC SENSOR CLUSTER"                                                    ,       "75"
"ERIS"                                                                            , "PHOTON MICROPROCESSOR"                                                           ,      "360"
"ERIS"                                                                            , "CRYSTALLINE CARBONIDE ARMOR PLATE"                                               ,     "1500"
"ERIS"                                                                            , "FUSION REACTOR UNIT"                                                             ,       "15"
"ERIS"                                                                            , "OSCILLATOR CAPACITOR UNIT"                                                       ,      "150"
"ERIS"                                                                            , "PULSE SHIELD EMITTER"                                                            ,       "38"
"ERIS"                                                                            , "MORPHITE"                                                                        ,       "15"
"ERIS"                                                                            , "CONSTRUCTION BLOCKS"                                                             ,       "23"
"ERIS"                                                                            , "R.A.M.- STARSHIP TECH"                                                           ,        "9"
"ERIS"                                                                            , "CATALYST"                                                                        ,        "1"

"SABRE"                                                                           , "SABRE BLUEPRINT COPY"                                                            ,        "1.02"
"SABRE"                                                                           , "PLASMA THRUSTER"                                                                 ,       "60"
"SABRE"                                                                           , "LADAR SENSOR CLUSTER"                                                            ,       "75"
"SABRE"                                                                           , "NANOMECHANICAL MICROPROCESSOR"                                                   ,      "360"
"SABRE"                                                                           , "FERNITE CARBIDE COMPOSITE ARMOR PLATE"                                           ,     "1500"
"SABRE"                                                                           , "NUCLEAR REACTOR UNIT"                                                            ,       "15"
"SABRE"                                                                           , "ELECTROLYTIC CAPACITOR UNIT"                                                     ,      "150"
"SABRE"                                                                           , "DEFLECTION SHIELD EMITTER"                                                       ,       "38"
"SABRE"                                                                           , "MORPHITE"                                                                        ,       "15"
"SABRE"                                                                           , "CONSTRUCTION BLOCKS"                                                             ,       "23"
"SABRE"                                                                           , "R.A.M.- STARSHIP TECH"                                                           ,        "9"
"SABRE"                                                                           , "THRASHER"                                                                        ,        "1"

"CURSE"                                                                           , "CURSE BLUEPRINT COPY"                                                            ,        "1.17"
"CURSE"                                                                           , "FUSION THRUSTER"                                                                 ,       "60"
"CURSE"                                                                           , "RADAR SENSOR CLUSTER"                                                            ,      "495"
"CURSE"                                                                           , "NANOELECTRICAL MICROPROCESSOR"                                                   ,     "1800"
"CURSE"                                                                           , "TUNGSTEN CARBIDE ARMOR PLATE"                                                    ,     "3750"
"CURSE"                                                                           , "ANTIMATTER REACTOR UNIT"                                                         ,       "30"
"CURSE"                                                                           , "TESSERACT CAPACITOR UNIT"                                                        ,      "375"
"CURSE"                                                                           , "LINEAR SHIELD EMITTER"                                                           ,      "300"
"CURSE"                                                                           , "MORPHITE"                                                                        ,      "150"
"CURSE"                                                                           , "CONSTRUCTION BLOCKS"                                                             ,       "75"
"CURSE"                                                                           , "R.A.M.- STARSHIP TECH"                                                           ,       "18"
"CURSE"                                                                           , "ARBITRATOR"                                                                      ,        "1"

"DEVOTER"                                                                         , "DEVOTER BLUEPRINT COPY"                                                          ,        "1.17"
"DEVOTER"                                                                         , "FUSION THRUSTER"                                                                 ,      "105"
"DEVOTER"                                                                         , "RADAR SENSOR CLUSTER"                                                            ,      "180"
"DEVOTER"                                                                         , "NANOELECTRICAL MICROPROCESSOR"                                                   ,     "2970"
"DEVOTER"                                                                         , "TUNGSTEN CARBIDE ARMOR PLATE"                                                    ,     "6750"
"DEVOTER"                                                                         , "ANTIMATTER REACTOR UNIT"                                                         ,       "53"
"DEVOTER"                                                                         , "TESSERACT CAPACITOR UNIT"                                                        ,      "660"
"DEVOTER"                                                                         , "LINEAR SHIELD EMITTER"                                                           ,      "413"
"DEVOTER"                                                                         , "MORPHITE"                                                                        ,      "150"
"DEVOTER"                                                                         , "CONSTRUCTION BLOCKS"                                                             ,      "188"
"DEVOTER"                                                                         , "R.A.M.- STARSHIP TECH"                                                           ,       "21"
"DEVOTER"                                                                         , "MALLER"                                                                          ,        "1"

"GUARDIAN"                                                                        , "GUARDIAN BLUEPRINT COPY"                                                         ,        "1.17"
"GUARDIAN"                                                                        , "FUSION THRUSTER"                                                                 ,       "75"
"GUARDIAN"                                                                        , "RADAR SENSOR CLUSTER"                                                            ,      "263"
"GUARDIAN"                                                                        , "NANOELECTRICAL MICROPROCESSOR"                                                   ,     "1800"
"GUARDIAN"                                                                        , "TUNGSTEN CARBIDE ARMOR PLATE"                                                    ,     "2250"
"GUARDIAN"                                                                        , "ANTIMATTER REACTOR UNIT"                                                         ,       "23"
"GUARDIAN"                                                                        , "TESSERACT CAPACITOR UNIT"                                                        ,      "750"
"GUARDIAN"                                                                        , "LINEAR SHIELD EMITTER"                                                           ,      "150"
"GUARDIAN"                                                                        , "MORPHITE"                                                                        ,       "90"
"GUARDIAN"                                                                        , "CONSTRUCTION BLOCKS"                                                             ,       "75"
"GUARDIAN"                                                                        , "R.A.M.- STARSHIP TECH"                                                           ,       "12"
"GUARDIAN"                                                                        , "AUGOROR"                                                                         ,        "1"

"ZEALOT"                                                                          , "ZEALOT BLUEPRINT COPY"                                                           ,        "1.17"
"ZEALOT"                                                                          , "FUSION THRUSTER"                                                                 ,       "75"
"ZEALOT"                                                                          , "RADAR SENSOR CLUSTER"                                                            ,      "398"
"ZEALOT"                                                                          , "NANOELECTRICAL MICROPROCESSOR"                                                   ,     "1350"
"ZEALOT"                                                                          , "TUNGSTEN CARBIDE ARMOR PLATE"                                                    ,     "5625"
"ZEALOT"                                                                          , "ANTIMATTER REACTOR UNIT"                                                         ,       "45"
"ZEALOT"                                                                          , "TESSERACT CAPACITOR UNIT"                                                        ,      "450"
"ZEALOT"                                                                          , "LINEAR SHIELD EMITTER"                                                           ,      "450"
"ZEALOT"                                                                          , "MORPHITE"                                                                        ,      "150"
"ZEALOT"                                                                          , "CONSTRUCTION BLOCKS"                                                             ,      "150"
"ZEALOT"                                                                          , "R.A.M.- STARSHIP TECH"                                                           ,       "18"
"ZEALOT"                                                                          , "OMEN"                                                                            ,        "1"

"PILGRIM"                                                                         , "PILGRIM BLUEPRINT COPY"                                                          ,        "1.17"
"PILGRIM"                                                                         , "FUSION THRUSTER"                                                                 ,       "57"
"PILGRIM"                                                                         , "RADAR SENSOR CLUSTER"                                                            ,      "495"
"PILGRIM"                                                                         , "NANOELECTRICAL MICROPROCESSOR"                                                   ,     "1800"
"PILGRIM"                                                                         , "TUNGSTEN CARBIDE ARMOR PLATE"                                                    ,     "3750"
"PILGRIM"                                                                         , "ANTIMATTER REACTOR UNIT"                                                         ,       "30"
"PILGRIM"                                                                         , "TESSERACT CAPACITOR UNIT"                                                        ,      "375"
"PILGRIM"                                                                         , "LINEAR SHIELD EMITTER"                                                           ,      "300"
"PILGRIM"                                                                         , "MORPHITE"                                                                        ,      "150"
"PILGRIM"                                                                         , "CONSTRUCTION BLOCKS"                                                             ,       "75"
"PILGRIM"                                                                         , "R.A.M.- STARSHIP TECH"                                                           ,       "18"
"PILGRIM"                                                                         , "ARBITRATOR"                                                                      ,        "1"

"SACRILEGE"                                                                       , "SACRILEGE BLUEPRINT COPY"                                                        ,        "1.17"
"SACRILEGE"                                                                       , "FUSION THRUSTER"                                                                 ,       "75"
"SACRILEGE"                                                                       , "RADAR SENSOR CLUSTER"                                                            ,      "165"
"SACRILEGE"                                                                       , "NANOELECTRICAL MICROPROCESSOR"                                                   ,     "1350"
"SACRILEGE"                                                                       , "TUNGSTEN CARBIDE ARMOR PLATE"                                                    ,     "5625"
"SACRILEGE"                                                                       , "ANTIMATTER REACTOR UNIT"                                                         ,       "45"
"SACRILEGE"                                                                       , "TESSERACT CAPACITOR UNIT"                                                        ,      "600"
"SACRILEGE"                                                                       , "LINEAR SHIELD EMITTER"                                                           ,      "450"
"SACRILEGE"                                                                       , "MORPHITE"                                                                        ,      "150"
"SACRILEGE"                                                                       , "CONSTRUCTION BLOCKS"                                                             ,      "188"
"SACRILEGE"                                                                       , "R.A.M.- STARSHIP TECH"                                                           ,       "18"
"SACRILEGE"                                                                       , "MALLER"                                                                          ,        "1"

"BASILISK"                                                                        , "BASILISK BLUEPRINT COPY"                                                         ,        "1.17"
"BASILISK"                                                                        , "MAGPULSE THRUSTER"                                                               ,       "75"
"BASILISK"                                                                        , "GRAVIMETRIC SENSOR CLUSTER"                                                      ,      "263"
"BASILISK"                                                                        , "QUANTUM MICROPROCESSOR"                                                          ,     "1800"
"BASILISK"                                                                        , "TITANIUM DIBORITE ARMOR PLATE"                                                   ,     "2250"
"BASILISK"                                                                        , "GRAVITON REACTOR UNIT"                                                           ,       "23"
"BASILISK"                                                                        , "SCALAR CAPACITOR UNIT"                                                           ,      "750"
"BASILISK"                                                                        , "SUSTAINED SHIELD EMITTER"                                                        ,      "150"
"BASILISK"                                                                        , "MORPHITE"                                                                        ,       "90"
"BASILISK"                                                                        , "CONSTRUCTION BLOCKS"                                                             ,       "75"
"BASILISK"                                                                        , "R.A.M.- STARSHIP TECH"                                                           ,       "12"
"BASILISK"                                                                        , "OSPREY"                                                                          ,        "1"

"CERBERUS"                                                                        , "CERBERUS BLUEPRINT COPY"                                                         ,        "1.17"
"CERBERUS"                                                                        , "MAGPULSE THRUSTER"                                                               ,       "75"
"CERBERUS"                                                                        , "GRAVIMETRIC SENSOR CLUSTER"                                                      ,      "398"
"CERBERUS"                                                                        , "QUANTUM MICROPROCESSOR"                                                          ,     "1350"
"CERBERUS"                                                                        , "TITANIUM DIBORITE ARMOR PLATE"                                                   ,     "5625"
"CERBERUS"                                                                        , "GRAVITON REACTOR UNIT"                                                           ,       "38"
"CERBERUS"                                                                        , "SCALAR CAPACITOR UNIT"                                                           ,      "450"
